日期,场内收盘价(CNY),收盘估算净值(CNY),A股收盘溢价率(%),次日5点估算净值(CNY),最新基金净值(CNY),Historical NAV(USD),净值溢价率(%),估算误差(%),更新时间
>>>>>>> 7f52f6c59c45784fe4532d066307f661b31d1710,,,,,,,,,
>>>>>>> 7f52f6c59c45784fe4532d066307f661b31d1710,,,,,,,,,
>>>>>>> 6152c5d67645cb4bb127730a31e7d5b4b5e93b32,,,,,,,,,
=======,,,,,,,,,
=======,,,,,,,,,
=======,,,,,,,,,
<<<<<<< HEAD,,,,,,,,,
<<<<<<< HEAD,,,,,,,,,
<<<<<<< HEAD,,,,,,,,,
2026-04-17,1.252,1.2497,0.18,1.2219,,,,,2026-04-17 16:26:31
2026-04-16,1.261,1.2212,3.26,1.2242,,,,,2026-04-16 16:26:53
2026-04-15,1.252,1.2256,2.15,1.2231,,,,,2026-04-15 16:27:21
2026-04-14,,,,1.2233,,,,,2026-04-14 05:57:19
2026-04-13,1.231,1.2234,0.62,,,,,,2026-04-13 17:03:01
2026-04-11,,,,1.2288,,,,,2026-04-11 05:47:32
2026-04-10,1.237,1.2349,0.17,1.2079,1.2238,0.8773,1.08,-1.30,2026-04-17 16:26:31
2026-04-09,1.216,1.2063,0.80,1.1954,1.2122,0.8690,0.31,-1.39,2026-04-13 17:03:01
2026-04-08,1.234,1.1973,3.07,1.1681,1.2044,0.8629,2.46,-3.01,2026-04-11 05:47:32
2026-04-07,1.178,1.1666,0.98,1.1720,1.1704,0.8363,0.65,0.14,2026-04-10 05:52:50
2026-04-06,1.182,1.1711,0.93,,,,,,2026-04-06 16:25:11
2026-04-03,1.182,1.1643,1.52,1.1635,,,,,2026-04-03 16:02:10
2026-04-02,1.171,1.1647,0.54,,,,,,2026-04-02 16:06:23
2026-04-01,1.196,1.1764,1.67,1.1495,1.1776,0.8393,1.56,-2.39,2026-04-09 05:52:12
2026-03-31,1.154,1.1487,0.46,1.1553,1.1630,0.8268,-0.77,-0.66,2026-04-02 16:06:23
2026-03-30,1.163,1.1557,0.63,,1.1609,0.8249,0.18,,2026-04-01 16:16:03
2026-03-28,,,,1.1673,,,,,2026-03-28 05:43:53
2026-03-27,1.184,1.1672,1.44,1.1808,1.1586,0.8242,2.19,1.92,2026-04-01 05:47:45
2026-03-26,1.185,1.1832,0.15,1.2122,1.1775,0.8388,0.64,2.95,2026-03-30 16:24:45
2026-03-25,1.189,1.2042,-1.26,1.1761,1.1979,0.8553,-0.74,-1.82,2026-03-28 05:43:53
2026-03-24,1.165,1.1763,-0.96,1.1739,,,,,2026-03-24 15:00:10
2026-03-24,1.165,1.1762,-0.95,1.1739,,,,,2026-03-24 15:53:51
2026-03-23,1.138,1.1716,-2.87,,,,,,2026-03-23 16:05:26
2026-03-21,,,,1.1809,,,,,2026-03-21 05:38:22
2026-03-20,1.190,1.1805,0.80,1.1814,,,,,2026-03-20 15:45:34
2026-03-19,1.206,1.1821,2.02,1.1924,,,,,2026-03-19 15:46:52
2026-03-18,1.239,1.1932,3.84,1.1811,,,,,2026-03-18 15:52:12
2026-03-17,1.201,1.1808,1.71,1.1811,1.1838,0.8444,1.45,-0.23,2026-03-24 15:00:10
2026-03-17,1.201,1.1808,1.71,1.1811,1.1838,0.8444,1.45,-0.23,2026-03-27 05:39:24
2026-03-16,1.221,1.1704,4.32,1.1725,1.1739,0.8361,4.01,-0.12,2026-03-19 05:42:29
2026-03-15,,,,1.1763,,,,,2026-03-15 21:23:28
2026-03-13,,,,,1.1724,0.8356,,,2026-03-17 20:32:47
2026-03-12,,,,,1.1912,0.8497,,,2026-03-17 08:00:08
